title,body,severity,y_pred
separate resource usage profiles,"there has been talk before (and i'm surprised to not find an existing issue about it) of having different memory usage profiles. this could encompass defaults for:
- `-dbcache`
- `-par`
- `-maxsigcachesize`
- `-maxmempool`
- `-maxorphantx`
- `-maxconnections`
- `-maxreceivebuffer`
- `-maxsendbuffer`

for desktop systems, autodetecting could be used to determine optimal settings. for servers, it could be specified on the command line. i have heard about interest in a means for specifying ""just use all the memory i have"".
",minor,major
documentation: react/jsx-filename-extension can break checks without --ext arguments,"adding the `react/jsx-filename-extension` is just fine as a rule, but adding some direction that you will need to add the `--ext=js --ext=jsx` arguments to the eslint cli for it to work. it might cause issues for users who are not aware of this when they start using the `eslint-preset-airbnb` package. adding a line to the readme might be helpful, and i would be happy to do so. 😄 

ideally, you could configure this as an option in `.eslintrc` but that is not currently available: 
https://github.com/eslint/eslint/issues/801

",minor,major
gccgo: gcov branch coverage doesn't look quite right,"<pre>what steps will reproduce the problem?

<a href=""https://groups.google.com/d/msg/golang-nuts/g8dszan8o9q/hsy_83ndgimj"">https://groups.google.com/d/msg/golang-nuts/g8dszan8o9q/hsy_83ndgimj</a>

what do you see instead?

look at a report like

<a href=""http://alberts.github.com/home/alberts/deps/src/code.google.com/p/go.crypto/cast5/cast5.go.gcov.html"">http://alberts.github.com/home/alberts/deps/src/code.google.com/p/go.crypto/cast5/cast5.go.gcov.html</a>

there's lots of untaken branches in places that look like code that doesn't involve
branches at all.

i'm wondering if it's due to bounds checks, allocations that could fail, etc.

overall, i think these make the branch coverage numbers less useful than they could be.

which compiler are you using (5g, 6g, 8g, gccgo)?

gccgo

which operating system are you using?

linux

which revision are you using?  (hg identify)

gofrontend rev ca4aaf510222</pre>
",major,minor
unexpected non const behaviour in inputarray.getmat()  and mat::operator= ,"##### system information (version)
- opencv = 3.1
- operating system / platform = windows 7/64 bit
- compiler = visual studio 2013
##### detailed description

as is defined `inputarray`  _is the proxy class for passing read-only input arrays into opencv functions_ but the `getmat()` method returns a read-write object.
in addiction the `mat::operator=` returns a non-const mat even if source is defined as `const`
##### steps to reproduce

in the following test the function changes content of the `in` param while caller expects a read-only behaviour .
as you can see  the test function can also changes content of the `const mat &src` param 

``` .cpp
void testconsts(const mat &src, inputarray in)
{
    mat dst1;
    dst1 = src;
    dst1 = 1;

    mat dst2 = in.getmat();
    dst2 = 2;
}
int main(int argc, char** argv)
{
    mat a = mat::zeros(size(3, 3), cv_8uc1);
    mat b = mat::zeros(size(3, 3), cv_8uc1);
    testconsts(a, b);
    cout << a << endl;
    cout << b << endl;
    return 0;
}
```

result is 1 and 2 instead of zeros

``` .text
a = [  1,   1,   1]
b = [  2,   2,   2]
```
",major,minor
encoding/gob: should report if a name is registered or not.,"by **brady@orchestrate.io**:

<pre>it would be nice to have a logical function to go with gob.register() that reports back
if an object is actually registered. this would help establish if encoding of a given
object is actually going to be readable on the other end or not.

i attached a terrible, poorly written and completely untested conceptual patch to show
my intentions.</pre>


attachments:
1. <a href=""https://storage.googleapis.com/go-attachment/8779/0/gob.patch"">gob.patch</a> (1806 bytes)
",minor,major
multiple templatematching,"transferred from http://code.opencv.org/issues/2804

```
|| baptiste chinon on 2013-02-15 18:12
|| priority: normal
|| affected: none
|| category: imgproc, video
|| tracker: feature
|| difficulty: 
|| pr: 
|| platform: none / none
```
## multiple templatematching

```
the templatematching can only work with one template to be compared with a main picture ; it would be great to update this function to provide multiple-template support, in order to increase performances in such a case. instead of giving a single template as an input, it could be possible to provide an array of template, and a trigger in another argument ; the templatematching function would stop and return a result once a template is found with an accuracy > trigger provided as an argument.

fft on the main picture would be performed only once, as a matter of fact performances would be increased approximately by a factor of 2.
```
## history
##### anna kogan on 2013-02-18 10:43

```
hello baptiste,
thank you for reporting the issue. if you could implement the feature yourself, a patch or pull request in the github repo: http://opencv.org/opencv-pull-requests-test-results.html would be highly appreciated!
-   target version set to 3.0
-   priority changed from high to normal
-   assignee set to baptiste chinon
-   category set to imgproc, video
```
##### cosmin boaca on 2014-01-31 14:22

```
hello, 

i would be glad to implement this feature, but i need some help. 
1. it's about templatematching from cv::cuda namespace ?
2. if answer to 1 is yes, then how should i handle multiple templates using inputarray parameter and how can i check the accuracy of a match ?
```
##### vladislav vinogradov on 2014-02-02 12:58

```
hello cosmin,

your help would be highly appreciated!

in current version, @matchtemplate@ (both cpu and cuda) returns map of comparison results, which should be passed to @minmaxloc@:

<pre>
matchtemplate(image, templ, result, method);
minmaxloc(result, &minval, &maxval, &minloc, &maxloc);
// final location - minloc or maxloc (depending on method)
</pre>

but, if i understand correctly, baptiste suggests adding new method, which will compare input image with several templates and return the first result with an accuracy > threshold. something like:

<pre>
void matchtemplate(inputarray image, const vector<mat>& templs, point& loc, int& templind, double threshold, int method);
</pre>
```
##### cosmin boaca on 2014-02-06 14:35

```
hello,

sorry for my delayed answer, i had some exams this week.
 i can't figure out how to use the existing functions, and not compute the dft on the main image for every template. if i us the matchtemplate function with one parameter, this would compute the dft for every template and that would be no optimization. the only solution i have in mind is like this:

i could add some mat* imagedft=0 parameter to the matchtemplate function, and if this parameter is not null and have the proper dimensions i can use it as the dft for the main image, otherwise i would compute it.

if you have any better idea i would like to hear it.
```
",major,minor
proposal: reflect/v2: rename structfield.anonymous to embedded,"in go-1, we have:

```
$> go doc reflect structfield 
type structfield struct {
	// name is the field name.
	name string
	// pkgpath is the package path that qualifies a lower case (unexported)
	// field name. it is empty for upper case (exported) field names.
	// see https://golang.org/ref/spec#uniqueness_of_identifiers
	pkgpath string

	type      type      // field type
	tag       structtag // field tag string
	offset    uintptr   // offset within struct, in bytes
	index     []int     // index sequence for type.fieldbyindex
	anonymous bool      // is an embedded field
}
    a structfield describes a single field in a struct.
```

the `anonymous` field is a bit ambiguous or at least misleading.

for go-2, rename it as `embedded`.

(see: https://golang.org/cl/35732/ for context)
",minor,major
composition root pattern,"### description:
the composition root design pattern is a method of organizing code to ensure that all dependencies are created in a single location within an application. this helps manage dependencies more effectively, improve testability, and promote a clear separation of concerns. by centralizing the creation of dependencies, the composition root pattern ensures that an application's object graph is constructed in a consistent manner.

**main elements of the pattern:**
1. **centralized dependency creation**: all dependencies are instantiated in a single location, typically at the application's entry point.
2. **dependency injection**: dependencies are injected into classes rather than being created within those classes, supporting inversion of control (ioc).
3. **separation of concerns**: ensures that the construction of objects and their usage are separate, enhancing maintainability and testability.

**references:**
- [composition root - mark seemann](https://blog.ploeh.dk/2011/07/28/compositionroot/)
- [dependency injection principles, practices, and patterns](https://www.manning.com/books/dependency-injection-principles-practices-patterns) by mark seemann and steven van deursen
- [project contribution guidelines](https://github.com/iluwatar/java-design-patterns/wiki)

### acceptance criteria:
1. implement the composition root pattern in the project, ensuring all dependencies are instantiated in a single location at the application's entry point.
2. demonstrate the use of dependency injection to provide these dependencies to various components of the application.
3. ensure that the implemented pattern adheres to the project’s contribution guidelines and includes relevant documentation and examples.
",minor,major
bring back cv::convertscale,"it was replaced with `mat::convertto` which is not accessible from the python bindings.
",major,minor
go-to-implementation & class names,"i have started to implement ""go-to-implementation"" by consumming tsserver ""implementation"" command inside eclipse to do the same thing than java:

![](https://cloud.githubusercontent.com/assets/1932211/14764578/3b90dc6c-09bd-11e6-83ba-722ffad94e11.png)

see https://github.com/microsoft/typescript/issues/8268

the tsserver ""implementation"" command returns list of filespan (file, location)) but not the text of the implemented class (""myservicea"", ""myserviceb""). if you see the below screenshost, it should be really cool to have too the name of the classes which implement the interface.

many thanks
",minor,major
keyword arguments passed to module's __call__ aren't forwarded to the hooks,"our current signature of the nn forward hook is `(module, input, output)` (where `input` and `output` are tuples), so there's no good way to pass kwargs to them (can't append to input, because dicts are unordered, passing as kwargs seems quite inconvenient for the user).

cc @alband @mruberry @jbschlosser @walterddr @kshitij12345",minor,major
bubbling / propagation of events throughout the display list,"hi there!

what do you guys think about having bubble/propagation of events throughout the display list? it could work exactly the way it works for dom events: https://dom.spec.whatwg.org/#dom-event-bubbles

i'm developing a gui in which a deep node triggers a mouse event, and i'd like to have the listener on a parent node to deal with that, as follows the representation:

```
scene
    > object3d ~> listens to ""click"" event
        > object3d
            > object3d
            > object3d ~> triggers the ""click"" event
```

the implementation could be something similar to this:

``` javascript
three.object3d.prototype.dispatchevent = function (event) {
  three.eventdispatcher.prototype.dispatchevent.apply(this, arguments);
  if (event.bubbles && this.parent) {
    this.parent.dispatchevent(event)
  }
}
```

note that `bubbling` is `false` by default when instantiating dom events. in case we implement this feature in three.js this wouldn't be an overhead.

looking forward to know your thoughts about this.
cheers!
",minor,major
site request: nos.nl.,"for example, [this url](http://nos.nl/artikel/2005405-rutte-meer-openheid-financi-n-navo.html) contains one video on the right-hand side of the screen. it would be nice if `youtube-dl` would notice that, and subsequently download the video.

thank you.
",major,minor
:term buffer does not set '[ and '] marks correctly,"## expected behaviour

when `:term` buffer contents change, the `'[` and `']` marks should be set to something reasonable.

see http://stackoverflow.com/a/38247473/152142.

related: https://github.com/neovim/neovim/issues/8807",minor,major
clean up test data,"transferred from http://code.opencv.org/issues/2722

```
|| kirill kornyakov on 2013-01-21 13:43
|| priority: normal
|| affected: none
|| category: infrastructure
|| tracker: feature
|| difficulty: none
|| pr: 
|| platform: none / none
```
## clean up test data

```
on a weekly opencv meeting we decided, that we need to clean & minimize test data. here are tasks selected for the hackathon:
# remove unused images and duplicated files (cascades)
# look at large files and decide if we need the at all
# make tests to use the same input images, i.e. stitching images can be used by feature2d tests
# remove auto-generated images, but if only their size is large
```
## history
##### vadim pisarevsky on 2013-01-24 17:54

```
-   assignee deleted (vadim pisarevsky)
```
##### kirill kornyakov on 2013-02-14 08:08

```
-   target version set to 2.4.5
```
##### andrey kamaev on 2013-04-01 09:56

```
-   target version changed from 2.4.5 to 3.0
```
",major,minor
expose backend selection and cudnn settings to the end user,"this is needed for the advanced user, where one might need to choose a specific backend, or a particular algorithm / mode in cudnn.


cc @csarofeen @ptrblck @xwang233",minor,major
"autoindent inserts extra undo item, requires double undo after paste","- vscode version: 1.14
- os version: macos 10.12.5

here's an example of pasting something, then hitting cmd-z to undo. as you can see, it first undoes one indentation, then undoes the paste. that's not right, since my paste was a single command, so a single undo should undo it.

![vsc](https://user-images.githubusercontent.com/50314/28082497-eee3dfe0-6672-11e7-998a-8715249ec60b.gif)

steps to reproduce:

1. copy something.
2. go into a block that has a deeper indentation level.
3. hit cmd-v.
4. hit cmd-z.
5. the paste remains, but one indent level is subtracted.

reproduces without extensions: yes",major,minor
runtime: remove implementation restriction on channel element size,"<pre>it appears that gc and the runtime currently disable channel elements to be over 64kb:

    <a href=""http://play.golang.org/p/_avwt-qiud"">http://play.golang.org/p/_avwt-qiud</a>

but i see nothing about this (allowed?) implementation restriction in the spec, despite
the spec calling out a number of other implementation-allowed restrictions.</pre>
",major,minor
:colorscheme - no syntax highlighting when changing colorscheme,"start with a colorscheme - like monokai, all tags are highlighted, everything works.
![2015-12-08-210804_406x246_scrot](https://cloud.githubusercontent.com/assets/7141867/11659850/5d23fc08-9df0-11e5-91e0-64ca35566213.png)

now change to a heavier colorscheme - one which defines more syntax rules (like solarized or papercolor). 
![1](https://cloud.githubusercontent.com/assets/7141867/11659864/66c142de-9df0-11e5-94cd-403152c588d5.png)
everything still works.

now switch back to the 'lighter' colorscheme (in this case monokai) - very few tags are highlighted. even strings are not highlighted properly.
![3](https://cloud.githubusercontent.com/assets/7141867/11659870/6dfce972-9df0-11e5-873c-8afe353f98d7.png)

on further digging, i found an [old stackoverflow link](http://stackoverflow.com/questions/12915797/gvim-remove-syntax-highlighting-groups).
there @xolox gave an explanation to this problem and a possible solution.

can this problem be solved ?
if not, can :colorscheme be remapped to some function like `xolox#colorscheme_switcher#switch_to()` from [xolox/vim-colorscheme-switcher](https://github.com/xolox/vim-colorscheme-switcher) ?
",major,minor
"fix startup files (.profile, .bashrc, .bash_profile, etc.)","looking through the issues, it looks like there are a lot of people (myself included) that need the startup to be included in `~/.bash_profile` instead of `~/.bashrc`. i know that there's a plethora of startup profile dotfiles, operating systems, and shells to consider when installing a cli tool like nvm. the number of [related issues already filed](https://github.com/creationix/nvm/labels/installing%3a%20profile%20detection) is strong evidence of the complexity.

after some research, i think the `rvm` project has a good idea. this project updates startup files to run an rvm startup script on login just like `nvm`. [here's how they do it](https://github.com/rvm/rvm/blob/master/scripts/functions/installer#l1163-l1165):
1. [compile a list of files where startup commands _may_ exist](https://github.com/rvm/rvm/blob/master/scripts/functions/installer#l1023-l1026).
2. [pick _preferred_ locations for startup commands](https://github.com/rvm/rvm/blob/master/scripts/functions/installer#l1030-l1032).
3. [build list of files _already containing_ startup command using list from step 1](https://github.com/rvm/rvm/blob/master/scripts/functions/installer#l1034-l1051) - ignore the `found_rc` (see note below).
4. [remove startup commands from all files from step 3](https://github.com/rvm/rvm/blob/master/scripts/functions/installer#l1113-l1124).
5. [add startup commands to all files from step 2](https://github.com/rvm/rvm/blob/master/scripts/functions/installer#l1125-l1148).

note: the `rvm` installer also does steps 2-5 for files related to `$path`, but it doesn't look like that's necessary for `nvm`, so i've omitted those steps.

the result of this process is you may end up with extra dotfiles you never use (like `.mkshrc`), but everything should still work properly. we could print a list of new files at the end of installation so the user can delete ones that aren't relevant if they care.
",minor,major
`nvm install 0.6.21` installs `v0.6.21-pre`,"related to #509, `nvm install 0.6.20` installs a node which reports the right version, but `nvm install 0.6` or `nvm install 0.6.21` installs a node which reports `v0.6.21-pre`.
",minor,major
cmd/compile: move arch-specific rewrite rules and ops into arch-specific packages,"right now, all the .rules files, all the generated code, and all the ops are in package ssa. this monolith has a few downsides: it seems a bit semantically incorrect, and it contributes to issues like #20084, and it makes rebuilding the compiler slower when working on the ssa package.

i'd like to move all the arch-specific stuff into cmd/compile/internal/arch. this is non-trivial and does have costs. rough proposed plan:

1. export all functions used by rewrite rules, so that they can be called from outside package ssa. there's a lot of this, including api surface we might normally keep private.

2. everywhere we refer to arch-specific ops in package ssa, add some form of generalization.

3. set up registration hooks for the value and block rewriters, must as we do now for ssamarkmoves.

4. move .rules and ops files to package ssa and teach rulegen about that. within the generated files, do `import . ""cmd/compile/internal/ssa""` to avoid having the teach rulegen to do `ssa.newvalue` for arch rules but just `newvalue` for generic rules. this will also reduce churn in the rules files themselves.

i think that's all that needs doing, but we might find more along the way; i started on this but it was big enough i wanted to discuss first.

comments?

cc @mdempsky @bradfitz @randall77 ",major,minor
x/tools/refactor/rename: fails if cgo build would fail,"i have some cgo_cflags and cgo_ldflags settings i have to use to build a project i have, but gorename inside emacs doesn't have access to those. 

gorename fails on this project (and ones that depend on it) because it cannot find the c headers. however, gorename doesn't support cgo and so doesn't really need to inspect those headers.

it would be nice for rename to not care about cgo so that we didn't have to mess with cgo's env variables for each project (esp since some might, in rare cases, have conflicting needs).
",minor,major
x/net/http2: testtransportflowcontrol takes 31 seconds on openbsd,"testtransportflowcontrol takes 31 seconds on openbsd, but 1.8 seconds on the same hardware on linux.

why?

/cc @tombergan who suspects relation to #15899
/cc @mdempsky @4a6f656c ",minor,major
uwp game on xbox receives mysterious inputkey events,"**operating system or device - godot version:** uwp(xbox), godot 2.2


**issue description:**
although i'm just using the xbox controller, my code is printing inputkey events everytime i press any button or move the sticks in the controller.
the scancode is: 33554431, which seems to be a very strange code :)
",major,minor
rpc commands always defined using f-args,"(subverting issue template as it doesn't seem to apply)

currently, all commands defined via the rpc interface have to use f-args as the input method for the arguments, see https://github.com/neovim/neovim/blob/fcc9d999670c6fb29ac01e9c8d0a7e787ccfabea/runtime/autoload/remote/define.vim#l58

it could be useful to use the others, e.g. `<args>`, `<q-args>` etc.

it could be made part of the api, and then exposed by the rpc clients for command definition.",minor,major
double click after curly brace to select the content,"this is a feature-request. 

a common use case for me in eclipse, is to double click on the right after a brace or a curly brace, to select all the content inside it. it's a fast way to select, indent, remove the content. it's a lot more handy to see the ending curly brace (especially for js and other functionnally langugage). 

![www gifcreator me_zovlan](https://cloud.githubusercontent.com/assets/3749428/16766721/07e53fda-483c-11e6-91dd-f108628db010.gif)
",major,minor
support peek/pop on ios,"once we have 3d touch support (https://github.com/flutter/flutter/issues/4838) we can then enable developers to build ""peek/pop"". see http://www.apple.com/iphone-6s/3d-touch/ for more.
",major,minor
consider exposing an opaque component path somehow,"this is something i've thought about in regard to focus, hover and selection.

if you implement hover as a top level state value with the currently hovered root component as `hoverid: component` and currently focused component as `focusid: component`.

now anything in between gets rerendered and can respond to those things changing. however, that also means that everything gets rerendered. not just the previous and next path.

the ideal would be that you store the path to that component, or extract the path from internal state.

that way we can quickly rerender only the previous and next path, while still letting anything in between react to focus/hover changing.

maybe this is more generally useful.

selection is a bit special because it might need to rerender anything in between two paths but that can also be optimized similarly - by checking if any child node corresponds to a start and end path and anything between is selected or unselected.
",minor,major
cmd/compile: turn nilcheckelim into branchelim,"nilcheckelim is effective and fast, but only eliminates nil checks. there are other kinds of duplicate branches that it would be nice to also elide.

for example, consider code like:

``` go
func f_ssa(e interface{}) int {
  if e.(int) < 0 {
    return -1
  }
  return e.(int) * 2
}
```

each of the type assertions will generate a branch to check e's dynamic type, but the subsequent checks are unnecessary, and could be eliminated with very similar logic to nilcheckelim. code like this, in which an interface is type asserted repeatedly, shows up in the compiler, so it is not theoretical.

i'd expect the souped-up optimization to also handle (silly) code like:

``` go
func f_ssa(i int) int {
  var x int
  if i < 3 {
    x += 1
  }
  if i < 3 {
    x += 2
  }
  return x
}
```

(the compiled code should only have one branch.)

/cc @randall77 @tzneal @dr2chase 
",minor,major
forbes video download (hosted on brigthcove),"possible to add? example: http://www.forbes.com/video/5118388570001/
",major,minor
exposed / compromised (must sweep) / used / imported (?) flags on addresses,"it was pointed out to me that some people have made the mistake of sending coins to addresses which generated by their wallet prior to encryption simply because they're at the top of their address list and they were engaging in the bad practice of reusing addresses.

in git the receive interface does a much better job of discouraging reuse, but users still can— and when they do they receive no guidance about which of their prior addresses were exposed by being left unencrypted.

might it be reasonable to have a set of flags that can show up in the list signifying addresses which are ""exposed"" meaning that they date from a prior encryption key?

likewise, i know of at least one incident where a user randomly picked a key they'd imported from a third party as a key to receive funds and the funds were stolen, a flag indicating that the key was imported would have been helpful.

along these lines, if we ever get around to having a auto-sweeping feature, might it make sense to have a ""this wallet is compromised"" button that rekeys, forces a backup, and then marks all existing addresses as compromised which flags them for automatic sweeping?
",major,minor
recursive traits should be allowed when boxing,"the following should work:

``` rust

trait future<t> {
    fn take(self) -> t;
}

trait stream<t>: future<option<(t, box<stream<t>>)>> {
}

pub fn main() {
    println!(""zomg"");
}
```
",major,minor
how can i implement ts.compileroptions in a class?,"![image](https://cloud.githubusercontent.com/assets/937933/17079355/a476d0be-50db-11e6-880f-7a92f3eabdbf.png)

``` typescript
class implements ts.compileroptions {
}
```
",major,minor
opencv cheat sheet in python,"transferred from http://code.opencv.org/issues/4036

```
|| eduard feicho on 2014-12-01 12:50
|| priority: normal
|| affected: none
|| category: documentation
|| tracker: feature
|| difficulty: 
|| pr: 
|| platform: none / none
```
## opencv cheat sheet in python

```
hi,
i think it would be really useful to have something like the opencv cheat sheet, but instead of c++ having it in python.
i find myself quite often confused about how to do things using numpy, so it would be a great help for the basic stuff.
```
## history
##### steven puttemans on 2014-12-01 13:26

```
+1 for this! would definately be an improvement. what about auto generating cheatsheets for `java / python / matlab`? is that possible? afaik the cheatsheet is manually created now and then by a volunteer.
```
",major,minor
--target should ignore the machine part of the triplet in most cases,"currently, rustc accepts a limited set of --target values. those match _some_ of the values one can get out of the typical `config.guess`, but for most platforms, the machine/manufacturer part of the target triplet should be ignored, or allowed to be omitted. (the output of config-guess is of the form `cpu_type-manufacturer-operating_system` or `cpu_type-manufacturer-kernel-operating_system`)

for example, the linux x86_64 target for rustc is `--target=x86_64-unknown-linux-gnu`.
some time ago, `config.guess` would have returned that. nowadays, it returns `x86_64-pc-linux-gnu`.
clang accepts both, as well as the shorter form: `--target=x86_64-linux-gnu` (in fact, it's very lax, `--target=x86_64-foo` works too).
a typical cross gcc toolchain will come as `x86_64-linux-gnu-gcc` too.
",major,minor
[req] e-learning udacity.com,"course page: https://www.udacity.com/course/viewer#!/c-ud032/l-698949179/m-762588556
",major,minor
can character-based caching remove the memory manager from animationmixer?,"##### description of the problem

is there a way to remove the memory manager from the animationmixer?  the memory manager is responsible for a large part of that code base.  if we just made people pre-assign clips/actions to their characters, and then just not enable those clips/actions, the characters could act as their own caches -- which is generally the main use case.  this would simplify the animationmixer and remove the main need for the memory manager as i understand it.
##### three.js version
- [x] dev
- [x] r76
- [ ] ...
##### browser
- [x] all of them
- [ ] chrome
- [ ] firefox
- [ ] internet explorer
##### os
- [x] all of them
- [ ] windows
- [ ] linux
- [ ] android
- [ ] ios
##### hardware requirements (graphics card, vr device, ...)
",minor,major
cmd/compile: escape analysis of interface calls to non-exported method names,"consider this go source:

```
package p

import ""fmt""

type a int
func (a) f(x *int) { fmt.println(""a"", *x) }

type b int
func (b) f(x *int) { fmt.println(""b"", *x) }
func (b) g() {}

type fer interface { f(x *int); g() }

func h(f fer) {
    i := 42
    f.f(&i)
}
```

at the f.f(&i) call site in h, we can't be sure exactly what method will be called.  however, since it's an unexported method name, it must be implemented by a method in the same package.  consequently, if we know that all candidate methods in the package are non-escaping (such as a.f and b.f are), we can still be sure that f.f(&i) is a non-escaping call.

note that we still have to consider a.f even though a itself doesn't implement fer, because a downstream package could do something like:

```
package q

import ""p""

type x struct { p.b }
type y struct { p.a; x }

func z() {
    p.h(y{})
}
```

there are probably refinements that could avoid this though.

i happened to notice this because of package net's ""exchange"" function, which calls the unexported tcpconn.dnsroundtrip or udpconn.dnsroundtrip methods.  i haven't investigated how common this situation is though.

/cc @dr2chase @alandonovan 
",minor,major
`tf.dynamic_stitch` gradient is incorrect,"### if possible, provide a minimal reproducible example (we usually don't have time to read hundreds of lines of your code)

original reproduction code (tensorflow 1.0)
``` python
import tensorflow as tf

x = tf.zeros((1, 3))
y = tf.dynamic_stitch([[0], [0]], [x, tf.ones((1, 3))])

with tf.session() as sess:
    print(""y"")
    print(sess.run(y))

    analytic, numeric = tf.test.compute_gradient(x, (1, 3), y, (1, 3))
    print(""analytic"")
    print(analytic)
    print(""numeric"")
    print(numeric)
```
updated reproduction code (tensorflow 2.16)
``` python
import tensorflow as tf

x = tf.zeros((1, 3))

analytic, numeric = tf.test.compute_gradient(
    lambda x: tf.dynamic_stitch([[0], [0]], [x, tf.ones((1, 3))]), [x]
)
print(""analytic"")
print(analytic)
print(""numeric"")
print(numeric)
```

gives output
```
y
[[ 1.  1.  1.]]
analytic
[[ 1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]
numeric
[[ 0.  0.  0.]
 [ 0.  0.  0.]
 [ 0.  0.  0.]]
```

the numeric gradient correctly shows that `x` has no impact on `y` (since the value of `x` is completely overwritten by a constant in the `dynamic_stitch`).  the analytic gradient is incorrect; it seems like the gradient calculation in `dynamic_stitch` does not handle the case where there are duplicate indices being merged.
",major,minor
ui.window.locale should be set on startup,"currently, it's not, which means we waste 16ms in every app with a materialapp because we spin an entire frame waiting for the locale to be set.

this requires some redundant pumps in tests, too.
",minor,major
docs for traits get duplicated because of different types,"[f32](http://doc.rust-lang.org/nightly/std/primitive.f32.html#) for example essentially supports traits like `add` which have multiple copies which aren't duplicates but seem repetitive because they are essentially very similar:
#### currently:

``` rust
impl add<f32> for f32
    type output = f32

    fn add(self, other: f32) -> f32

impl<'a> add<f32> for &'a f32
    type output = f32::output

    fn add(self, other: f32) -> f32::output

impl<'a> add<&'a f32> for f32
    type output = f32::output

    fn add(self, other: &'a f32) -> f32::output

impl<'a, 'b> add<&'a f32> for &'b f32
    type output = f32::output

    fn add(self, other: &'a f32) -> f32::output
```

it would be very nice if these could be combined so the repetition is less drastic. i've only come up with 2 options so far but maybe there are more.
#### option a:

this is tricky to improve because all are different. one course would be to collapse all but the last by default which would make it look like the following block. this would also aid https://github.com/rust-lang/rust/issues/21660 . this makes all the types clear but only shows one method because all the methods will be the same.

``` rust
+impl add<f32> for f32
+impl<'a> add<f32> for &'a f32
+impl<'a> add<&'a f32> for f32
-impl<'a, 'b> add<&'a f32> for &'b f32
    type output = f32::output

    fn add(self, other: &'a f32) -> f32::output
```
#### option b:

use some type of shorthand to include all options (like globbing). this should expand to specifics if desired i suppose.

``` rust
impl<.*> add<.* f32> for .* f32
    type output = f32.*

    fn add(self, other: .* f32) -> f32::output
```

---

option a looks the most practical. i'm trying to think of a better way to include only one but still allow the specifics to be examined but haven't come up with any better ideas.
",minor,major
"cmd/compile: ssa, don't re-copy spilled output parameters","``` go
func f(a []int) (s int) {
    for _, x := range a {
        s += x
    }
    runtime.gc()
    return
}
```

the ssa-generated code does this after runtime.gc():

```
        movq    """".s+32(fp), bx
        movq    bx, """".s+32(fp)
```

we should teach the compiler that it doesn't need to move the result to the output slot if was already spilled to the correct slot.
",minor,major
add a --play option,"a common case is just wanting to watch the downloaded video. for that, we should add an option to play the video.

for starters, it can be a simple post-processing action. however, i think the user experience would be better if we'd have an option to either autoplay once a certain buffer (say, 2mb) has been written to disk. we may also tee the output to a pipe and pass _that_ to the video player in order for the video player not to stop playback once it reaches the current number of downloaded bytes.
",major,minor
testing doesn't sufficiently cover client/cluster version skew,"as we're moving forward with the `v1.1` release, we're realizing we don't have sufficient test coverage for version-skew between clients and clusters.  recently, we put in place upgrade tests:

```
  # kubernetes-upgrade-gke-1.0-1.1
  #
  # this suite:
  #
  #1. launches a cluster at release/latest-1.0,
  #2. upgrades the master to ci/latest-1.1
  #3. runs release/latest-1.0 e2es,
  #4. upgrades the rest of the cluster,
  #5. runs release/latest-1.0 e2es again, then
  #6. runs ci/latest-1.1 e2es and tears down the cluster.
```

when these tests run, the client version always matches the e2e version, so in `3.` and `5.` the client is a `1.0` client, in `6.` it's a `1.1` client.

problems:
- [ ] we don't cover the reverse case, where we have a `1.1` client working a `1.0` cluster.
  - this is tough because we don't expect `1.1` tests to pass against a `1.0` cluster, so we'd, in theory, have to run `1.0` tests through a `1.1` client, which is tough.

possible solutions:
- [x] run `1.1` tests against a `1.0` cluster, and see what breaks (#16041);
- [ ] figure out a way to link different versions of the tests and client library together;
- [ ] figure out a way to run the test-command suite against a live, version-skewed cluster.

this is _not_ a `v1.1` blocker.

please add other cases we don't catch, so we have a sense of where we need to go.
",major,minor
add support for adobe pass auth tv provider charter communications,"i'd like to request support for the msos under tveverywhere. there seems to be a relation to watchtveverywhere.com ( #10709), but some providers don't overlap.

specifically, i'm looking for support for charter communications, soon to be charter/time warner/spectrum. i can provide credentials for this if needed.

http://www.tveverywherenow.com/#get-started-dest
",major,minor
